ticker,score,price,target_usd,shares
WDC,0.5808891445761655,400.7300109863281,20.0,0.04990891485959196
CIEN,0.5782934280830775,506.3399963378906,20.0,0.03949915105393651
SNDK,0.5643703122106724,1070.199951171875,20.0,0.018688096535698667
INTC,0.562180902307059,84.98999786376953,20.0,0.2353218084798402
MU,0.5585077511058595,524.5599975585938,20.0,0.03812719249100954
STX,0.5572719428530302,595.8599853515625,20.0,0.033564932184865254
COHR,0.5535520613789259,321.5299987792969,20.0,0.06220259408431842
CVNA,0.5535449287801261,406.7300109863281,20.0,0.049172668501888055
AMD,0.5472737683907213,334.6300048828125,20.0,0.05976750353574541
WBD,0.5447447263541829,26.81999969482422,20.0,0.7457121635933368
SATS,0.5345217928583182,121.62999725341795,20.0,0.16443312054286818
VRT,0.5337195424278521,322.42999267578125,20.0,0.0620289689368661
LITE,0.5320428740124596,859.6799926757812,20.0,0.0232644706988578
APP,0.529709064512421,460.2900085449219,20.0,0.04345086712445575
TER,0.5296669127452928,402.0,20.0,0.04975124378109453
GNRC,0.5294850246093781,220.3000030517578,20.0,0.09078529152494452
ON,0.5287362336627635,98.04000091552734,20.0,0.2039983661080571
DELL,0.5276591622693723,215.97000122070312,20.0,0.09260545393784429
EFX,0.527120825198391,170.57000732421875,20.0,0.11725390831451443
HOOD,0.5268583509612492,83.94999694824219,20.0,0.23823705452104577
