year,weights,train_cagr,test_cagr,test_sharpe,test_mdd,qqq_cagr,excess
2015,"{'momentum': 0.25, 'lowvol': 0.75, 'trend': 0.0}",0.21773458857565942,0.07708206025476794,0.5741851420711295,-0.10039558793539027,0.09435919810723958,-1.7277137852471647
2016,"{'momentum': 0.0, 'lowvol': 0.5, 'trend': 0.5}",0.2004467023198382,0.11947372056399219,0.9661865564385484,-0.0755938148255092,0.070978853029384,4.849486753460819
2017,"{'momentum': 0.25, 'lowvol': 0.0, 'trend': 0.75}",0.310412992011595,0.4258004998935492,2.031969734709349,-0.09599129107204496,0.3281299316554791,9.767056823807007
2018,"{'momentum': 0.5, 'lowvol': 0.5, 'trend': 0.0}",0.2769536535245618,0.09309695321181621,0.5428061992812215,-0.1902751301806057,-0.0012670947948374423,9.436404800665365
2019,"{'momentum': 0.5, 'lowvol': 0.5, 'trend': 0.0}",0.21918252872555866,0.3854467346701076,2.482555789682036,-0.06704658325472201,0.38961582462888544,-0.41690899587778496
2020,"{'momentum': 0.0, 'lowvol': 1.0, 'trend': 0.0}",0.17622640703749015,0.20056358317718082,0.7491493080280576,-0.30703914523859765,0.4817473507169088,-28.118376753972797
2021,"{'momentum': 0.0, 'lowvol': 0.0, 'trend': 1.0}",0.3072060864785051,0.19913191744102976,1.0243017001817591,-0.10024957221259001,0.27419718403717597,-7.506526659614621
2022,"{'momentum': 0.5, 'lowvol': 0.5, 'trend': 0.0}",0.3008760159754875,-0.044909294631199415,-0.1111531390583016,-0.16032190675802205,-0.3268280696748188,28.19187750436194
2023,"{'momentum': 0.5, 'lowvol': 0.5, 'trend': 0.0}",0.20139569622386455,0.1701824445624236,1.3019526019936822,-0.07553047197719343,0.5539831262261725,-38.38006816637489
2024,"{'momentum': 0.25, 'lowvol': 0.25, 'trend': 0.5}",0.20811027332282905,0.15841817592905705,1.0141963665088851,-0.12251999385630985,0.25578256058891435,-9.736438465985731
2025,"{'momentum': 0.0, 'lowvol': 0.0, 'trend': 1.0}",0.19257988046747965,0.055742052803287034,0.3840262563217952,-0.2173544401621189,0.20955049221325694,-15.380843940996991
