year,test_cagr,test_sharpe,test_mdd,qqq_cagr,excess,best_iter,top_features,cost_drag
2015,0.2693341389458155,1.3248506919271534,-0.13712679264034977,0.09435919810723958,17.49749408385759,20,"['lowvol', 'momentum']",0.01055
2016,0.358778993464377,1.6750712798438605,-0.17078230696457086,0.070978853029384,28.780014043499303,1,"['momentum', 'ma']",0.01415
2017,0.33008566423098795,2.0787087869254726,-0.06653309122140438,0.3281299316554791,0.19557325755088506,16,"['lowvol', 'momentum']",0.010350000000000002
2018,0.00851598568916434,0.16153068855843472,-0.25379372011529566,-0.0012670947948374423,0.9783080484001783,2,"['momentum', 'rsi']",0.00705
2019,0.5467627148171963,2.3022227900504646,-0.09944364159234975,0.38961582462888544,15.714689018831084,1,"['momentum', 'rsi']",0.014450000000000001
2020,0.6829373210803351,1.470286266272071,-0.39477666837953107,0.4817473507169088,20.118997036342634,5,"['lowvol', 'momentum']",0.01105
2021,0.19373838853994862,0.7966224763843287,-0.1800819044910401,0.27419718403717597,-8.045879549722734,11,"['lowvol', 'momentum']",0.0083
2022,-0.18428521474192516,-0.4056258976404676,-0.2696054151328755,-0.3268280696748188,14.254285493289364,1,"['momentum', 'ma']",0.011150000000000002
2023,0.6394525969750038,2.301511155106181,-0.1137126619012937,0.5539831262261725,8.546947074883127,7,"['lowvol', 'momentum']",0.012450000000000001
2024,0.07307677779756028,0.49238387758657703,-0.13734737570553124,0.25578256058891435,-18.270578279135407,2,"['momentum', 'ma']",0.0182
2025,0.1839316321627149,0.8392254227721971,-0.23338138490845328,0.20955049221325694,-2.5618860050542036,2,"['ma', 'momentum']",0.017400000000000002
