year,n_rebal,avg_corr,avg_eff_n,avg_n_sec,avg_eff_sec,avg_top_share,top_sec_dom
1995,51,0.10469076733100538,7.024635297849704,8.117647058823529,6.09673188392155,0.2656862745098039,Industrials
1996,51,0.13442267408552008,6.069175006595479,8.470588235294118,6.21545068821762,0.2666666666666666,Industrials
1997,51,0.1674670056534707,5.234070982967751,8.588235294117647,6.41843511001352,0.2568627450980392,Technology
1998,51,0.20032596816181286,4.462161663301767,8.176470588235293,5.865733825268215,0.28431372549019607,Industrials
1999,51,0.13688567458376738,5.739583145389884,8.313725490196079,5.922291698035629,0.2852941176470588,Utilities
2000,51,0.14289966028055168,5.726805920914778,8.03921568627451,5.367717220398916,0.3264705882352942,Technology
2001,50,0.2084261265398516,4.310807728959828,8.02,5.746834976403858,0.292,Industrials
2002,51,0.2696720814361411,3.529196328123977,7.686274509803922,5.399097733257149,0.3088235294117647,Technology
2003,51,0.28092416141449505,3.3278592772742113,8.156862745098039,5.776361000400397,0.28823529411764703,Healthcare
2004,51,0.25190015809672983,3.574503333605393,7.490196078431373,5.160566000721693,0.31568627450980397,Technology
2005,51,0.214758877680949,4.072091312181839,7.450980392156863,5.1861675338918625,0.30980392156862746,Technology
2006,51,0.23030442798837947,3.9511138059091833,7.411764705882353,5.128150083280886,0.31274509803921574,Technology
2007,51,0.29157282375428956,3.2167534338194286,8.019607843137255,5.648177516092995,0.2892156862745098,Technology
2008,51,0.3492483897796065,2.8955513170205487,7.333333333333333,4.965239688803403,0.3343137254901961,Technology
2009,51,0.3967024924530961,2.459023497614191,7.9411764705882355,5.131186733417568,0.33627450980392154,Financial Services
2010,51,0.3830965449801211,2.6334629119054886,7.117647058823529,4.974079935244486,0.32156862745098036,Financial Services
2011,51,0.37123339762121427,2.7481884083124024,6.7254901960784315,4.601173284016624,0.35588235294117654,Technology
2012,50,0.3234985817555791,2.9511663193351474,7.12,4.821494704430523,0.349,Technology
2013,51,0.22850872764568755,3.8947975101456347,7.215686274509804,4.991877448445816,0.33235294117647063,Technology
2014,51,0.22926738575123204,3.963728221068003,6.686274509803922,4.771714220697223,0.3274509803921569,Technology
2015,51,0.24277605616186831,3.8356543095540045,7.117647058823529,5.006451153256304,0.3245098039215686,Technology
2016,51,0.2878252560629017,3.173347149981203,7.2745098039215685,4.928248835937158,0.31568627450980385,Energy
2017,51,0.15265842997254,5.280079633277226,6.372549019607843,4.088178915282877,0.3882352941176471,Technology
2018,51,0.2270557076073183,4.027777972310932,6.431372549019608,3.476258537138289,0.4715686274509803,Technology
2019,51,0.21861296584940612,4.235839238979303,7.882352941176471,4.451753882512674,0.39607843137254906,Technology
2020,51,0.35321312368583196,3.2066872042776184,7.294117647058823,4.34446507736326,0.3607843137254902,Energy
2021,51,0.25383402588666454,3.593275333587176,6.862745098039215,4.58785092200958,0.3392156862745098,Energy
2022,51,0.3964917283980827,2.518957370915359,7.0,4.415594562460437,0.34411764705882353,Consumer Cyclical
2023,50,0.26136090314449567,3.763812106309197,7.14,5.0041259286070225,0.319,Technology
2024,51,0.18013735269287356,4.854669475939591,7.647058823529412,4.864012243747356,0.35588235294117654,Technology
2025,50,0.23703866796890807,4.311865101852938,8.24,5.450117801314277,0.33399999999999996,Technology
