year,universe_size,cagr,sharpe,mdd,qqq_cagr,spy_cagr,excess_qqq,excess_spy,top_features
1995,277,0.7480156139556495,3.192696450597927,-0.09275187636479232,,0.38048990723661613,,36.75257067190334,"['lowvol', 'ma']"
1996,289,0.3989193297663034,2.064428257060534,-0.14706569507120593,,0.22301952106102485,,17.589980870527853,"['momentum', 'ma']"
1997,307,0.5265246560648031,2.2640193166593523,-0.11732816259799361,,0.333228485753972,,19.329617031083114,"['lowvol', 'ma']"
1998,311,0.7560664033309159,2.2860349975182332,-0.2532760615534435,,0.28692373006421756,,46.91426732666984,"['momentum', 'ma']"
1999,326,0.4483190724514856,2.0511014666597536,-0.08340549124779406,1.0377882834785255,0.20389447977758746,-58.94692110270399,24.442459267389815,"['lowvol', 'ma']"
2000,345,0.4248007342953595,1.270002885591987,-0.13614446128013313,-0.36114887737204826,-0.09741498619078282,78.59496116674077,52.22157204861423,"['lowvol', 'ma']"
2001,357,0.08101587798966925,0.42623234000501165,-0.3142468598295627,-0.3377942717590806,-0.11936398381295521,41.88101497487499,20.037986180262447,"['momentum', 'ma']"
2002,366,0.41246165817267344,1.44807784124868,-0.1779575367648356,-0.3736829327139872,-0.21584643772803314,78.61445908866607,62.83080959007066,"['lowvol', 'ma']"
2003,379,0.8274820347829892,3.4453269385121743,-0.08196308099467176,0.4966860099117689,0.2818155887224827,33.07960248712203,54.56664460605065,"['ma', 'lowvol']"
2004,386,0.3871570718082116,2.017527543098964,-0.0832458792108941,0.10538573655989558,0.10697925666488106,28.1771335248316,28.017781514333052,"['ma', 'lowvol']"
2005,387,0.21257700126303813,1.2898629247694358,-0.14035442623421035,0.015654367009830805,0.04828261147853996,19.692263425320732,16.429438978449816,"['ma', 'rsi']"
2006,398,0.17575470500199541,0.8562735957007457,-0.2166951546112481,0.07173535656963459,0.15913183273004838,10.401934843236083,1.6622872271947031,"['lowvol', 'ma']"
2007,407,0.05174034738746691,0.3383000603984815,-0.1567367747279229,0.19110636510543833,0.05167287330608339,-13.936601771797141,0.006747408138352284,"['lowvol', 'momentum']"
2008,414,-0.3819163070934485,-0.7760684430483406,-0.5420465425978196,-0.41602640506912847,-0.3668030988385359,3.4110097975679987,-1.511320825491258,"['ma', 'momentum']"
2009,426,0.3976596827484855,1.3585886692351914,-0.26130431319455205,0.5468407248627292,0.2635178637553732,-14.918104211424366,13.414181899311227,"['momentum', 'ma']"
2010,431,0.4018452444270739,1.5947744142140012,-0.16144129460395695,0.201437969124866,0.15056111325778043,20.040727530220792,25.128413116929348,"['lowvol', 'ma']"
2011,435,0.08398278507713974,0.42237584512988063,-0.20438568462585993,0.03475783115854392,0.018949910895571298,4.922495391859583,6.5032874181568445,"['ma', 'lowvol']"
2012,445,0.19145081282504894,1.0997401103042184,-0.1181154377346838,0.18269966457943365,0.16128101709423293,0.8751148245615292,3.016979573081602,"['rsi', 'ma']"
2013,452,0.30630073134646363,1.9989818302882945,-0.08178496541407809,0.366341680970915,0.3230772936737576,-6.004094962445139,-1.6776562327293965,"['ma', 'lowvol']"
2014,461,0.17333517675026,0.9303284281420694,-0.16070971644729581,0.1918138329948209,0.13463781039399847,-1.847865624456091,3.869736635626153,"['ma', 'lowvol']"
2015,469,0.03717572885927267,0.29094736562815504,-0.12662530805661454,0.09435919810723958,0.012343214365145183,-5.718346924796691,2.483251449412749,"['ma', 'lowvol']"
2016,474,0.2598350244743248,1.2775965469314388,-0.1662997701416088,0.070978853029384,0.11997887889732484,18.885617144494084,13.9856145577,"['ma', 'momentum']"
2017,481,0.3871334689887531,2.2943853760256996,-0.0715235141807048,0.3281299316554791,0.21800692955862533,5.900353733327401,16.912653943012778,"['momentum', 'ma']"
2018,486,-0.029405153018385977,-0.0051647027370595395,-0.26915257325899056,-0.0012670947948374423,-0.04586781095466974,-2.8138058223548534,1.6462657936283764,"['lowvol', 'ma']"
2019,489,0.2621327904427073,1.3786847169748813,-0.11557066737362032,0.38961582462888544,0.31223890562266376,-12.748303418617812,-5.0106115179956445,"['ma', 'momentum']"
2020,494,0.6341275524072216,1.148949680254801,-0.48924332987689645,0.4817473507169088,0.18252879077295558,15.238020169031286,45.1598761634266,"['lowvol', 'ma']"
2021,501,0.30347159210693553,1.1798170813506073,-0.14385885790397313,0.27419718403717597,0.2872879609025727,2.927440806975956,1.6183631204362836,"['ma', 'lowvol']"
2022,506,-0.06412497759687319,0.04061695563377392,-0.28928677310887374,-0.3268280696748188,-0.1824073371127416,26.27030920779456,11.82823595158684,"['ma', 'lowvol']"
2023,510,0.432944260127488,1.8524111629511562,-0.1772957021880076,0.5539831262261725,0.26410704172971533,-12.103886609868454,16.883721839777266,"['ma', 'lowvol']"
2024,512,0.4622973474250107,1.8167359800723561,-0.13568289324003202,0.25578256058891435,0.2488645960392335,20.651478683609636,21.343275138577724,"['ma', 'lowvol']"
2025,514,0.38918422164939326,1.0929671161137433,-0.2915028771469411,0.20955049221325694,0.17872790399682703,17.96337294361363,21.045631765256623,"['ma', 'lowvol']"
