feature,importance,pct
yield_curve,4032.9707050919533,20.30939307032603
vix_level,1406.5421773791313,7.083120617344951
beta_to_spy,1359.649024605751,6.846974227593352
roe_ttm,991.7368071675301,4.994227360403369
pb,991.3595482707024,4.992327545159168
mom_12m_skip1,924.0612751245499,4.653424244782178
evebitda,877.4334235787392,4.418613869424619
lowvol,841.5519136190414,4.237920345217207
high_52w_distance,812.7524544596672,4.092890891980154
rev_growth_yoy,802.9105585813522,4.043328684226562
ps,796.1223141551018,4.00914417499219
pe,711.0725481957197,3.5808472064009083
idio_vol,701.040319621563,3.530326513744585
roa_ttm,688.493968129158,3.467145101656467
de,645.4076521992683,3.2501693311487494
netmargin,570.1488293409348,2.8711779803040414
sec_rel_lowvol,558.2182572484016,2.811097534424484
mom_3m,372.4502919912338,1.8755998821556537
fcfps,350.97239923477173,1.7674406620148888
mom_accel,301.2601946592331,1.5170979799214281
mom_1m,262.5138928294182,1.321977823732428
mom_6m,257.1346643567085,1.2948888926550428
sec_rel_mom_12m,238.8959666788578,1.2030417389520338
reversal_1w,139.15155535936356,0.7007448952139392
sec_rel_mom_3m,120.15974253416061,0.6051051745241478
rsi,101.03514158725739,0.5087967541695468
volsurge,2.616742968559265,0.013177497531877112
