date,port_gross,port_net,spy,alpha_gross,alpha_net
1998,0.0,0.0,0.28692373006421756,-0.28692373006421756,-0.28692373006421756
1999,0.481282938907593,0.4022129257803819,0.20389447977758746,0.27738845913000554,0.19831844600279447
2000,-0.20378555590203717,-0.23093902025652024,-0.09741498619078282,-0.10637056971125436,-0.13352403406573743
2001,0.4699105728570747,0.37121262052174453,-0.11758538974352073,0.5874959626005954,0.48879801026526526
2002,0.40289878431531245,0.3014776572669291,-0.21584643772803314,0.6187452220433456,0.5173240949949622
2003,0.4811118212926644,0.3986266954597364,0.2818155887224827,0.1992962325701817,0.1168111067372537
2004,0.22915956368968016,0.15120730358816803,0.10697925666488106,0.1221803070247991,0.04422804692328697
2005,-0.21906055406152403,-0.2708475954774887,0.04828261147853996,-0.267343165540064,-0.3191302069560287
2006,0.12775707483158083,0.07334813018930597,0.15845278365343662,-0.030695708821855794,-0.08510465346413065
2007,0.17357444793488264,0.11682385095380088,0.051462634413045105,0.12211181352183753,0.06536121654075577
2008,0.11220815462126432,0.0246590534988278,-0.3679502902078601,0.4801584448291244,0.3926093437066879
2009,1.4511336474465586,1.2209662876309362,0.2635178637553732,1.1876157836911854,0.957448423875563
2010,0.19350959755575636,0.11675069791104375,0.15056111325778043,0.04294848429797593,-0.03381041534673668
2011,0.024814660332310723,-0.05167197906670029,0.018949910895571298,0.005864749436739425,-0.07062188996227159
2012,0.4467035983254293,0.36726489636567616,0.1599037466894584,0.2867998516359709,0.20736114967621777
2013,0.4973269262444473,0.42573841504865606,0.3230772936737576,0.1742496325706897,0.10266112137489847
2014,0.1502210636361605,0.10901852538226775,0.13463781039399847,0.015583253242162032,-0.02561928501173072
2015,-0.1059859293675548,-0.14959293605026758,0.012343214365145183,-0.11832914373269998,-0.16193615041541276
2016,0.0979151033436716,0.05666954462012819,0.11997887889732595,-0.022063775553654352,-0.06330933427719776
2017,0.09584789584261588,0.05238343742312668,0.21705408704962625,-0.12120619120701037,-0.16467064962649958
2018,-0.0459546888882858,-0.07612374848045078,-0.045690018914238295,-0.0002646699740475045,-0.030433729566212486
2019,0.3249659632669315,0.2743413077081893,0.31223890562266376,0.012727057644267736,-0.037897597914474446
2020,0.9814817701835474,0.8136421681706669,0.18331578701092233,0.7981659831726251,0.6303263811597446
2021,0.6166000139935504,0.5339882328798697,0.2872879609025727,0.32931205309097766,0.24670027197729705
2022,-0.2332803091323824,-0.26792933830171384,-0.18175367979930945,-0.05152662933307295,-0.08617565850240438
2023,-0.025494360406906225,-0.07397892220952018,0.26175792807545384,-0.28725228848236006,-0.335736850284974
2024,0.17643664535010117,0.12419847041393894,0.2488645960392335,-0.07242795068913233,-0.12466612562529455
2025,0.256150401273449,0.1974208904925936,0.17719061307023343,0.07895978820321559,0.020230277422360166
2026,0.21195470047697063,0.1987809750389793,0.0596816699975633,0.15227303047940732,0.139099305041416
