year,no_cap_excess,cap25_excess,diff,no_cap_top_sec,no_cap_top_sec_n,no_cap_tech
1995,45.630054158951964,37.08548850995565,-8.544565648996311,Technology,4.235294117647059,4.235294117647059
1996,30.791496729008806,36.6529132553868,5.861416526377994,Healthcare,4.0588235294117645,2.2549019607843137
1997,35.86439002943129,34.05570100270543,-1.8086890267258582,Technology,5.254901960784314,5.254901960784314
1998,44.51223322435893,41.85039274033369,-2.661840484025241,Industrials,2.9607843137254903,1.7647058823529411
1999,26.62503270925405,21.103559671243378,-5.521473038010672,Utilities,3.764705882352941,2.196078431372549
2000,56.57408422513753,57.59920098316213,1.0251167580245948,Technology,9.607843137254902,9.607843137254902
2001,35.704226762363355,36.17187137067,0.46764460830664234,Healthcare,3.6,0.54
2002,66.44599909397868,65.34086842415641,-1.1051306698222731,Consumer Cyclical,4.431372549019608,2.372549019607843
2003,39.90768176317678,44.99832917684674,5.090647413669956,Healthcare,3.5294117647058822,3.019607843137255
2004,66.12779510970445,63.63294672990109,-2.494848379803358,Technology,4.490196078431373,4.490196078431373
2005,40.28764762161572,39.0135670168221,-1.2740806047936175,Technology,4.0588235294117645,4.0588235294117645
2006,-0.06548888605231173,-6.176127264775055,-6.110638378722744,Technology,5.098039215686274,5.098039215686274
2007,31.8875044993028,40.42227690170384,8.534772402401039,Technology,3.4901960784313726,3.4901960784313726
2008,1.4039158707584765,2.4850244548966005,1.081108584138124,Technology,3.2745098039215685,3.2745098039215685
2009,17.57509700840174,33.21145001266119,15.636353004259448,Consumer Cyclical,4.019607843137255,2.627450980392157
2010,61.11241221530823,57.00360415676806,-4.10880805854017,Financial Services,4.490196078431373,3.176470588235294
2011,-11.751173149246474,-7.803678049906038,3.9474950993404363,Technology,5.980392156862745,5.980392156862745
2012,7.703471553966179,8.65198055389882,0.948508999932641,Technology,4.8,4.8
2013,24.783941055190883,21.849428218701348,-2.934512836489535,Technology,4.549019607843137,4.549019607843137
2014,14.983788259279507,18.749179714432394,3.765391455152887,Technology,6.215686274509804,6.215686274509804
2015,0.7344296094722536,3.449466683963931,2.7150370744916774,Technology,5.8431372549019605,5.8431372549019605
2016,25.72777797918322,18.573952583652662,-7.153825395530557,Technology,4.823529411764706,4.823529411764706
2017,8.71261301282824,10.174150714786379,1.4615377019581377,Technology,8.72549019607843,8.72549019607843
2018,21.219956306225573,18.945740462800398,-2.274215843425175,Technology,8.019607843137255,8.019607843137255
2019,31.212028698264938,35.242483801196855,4.030455102931917,Technology,9.27450980392157,9.27450980392157
2020,78.94963945915718,85.7346528653237,6.785013406166513,Consumer Cyclical,5.117647058823529,2.784313725490196
2021,-5.922059364598731,-6.288725376630411,-0.36666601203168003,Energy,6.0,2.0980392156862746
2022,-19.45531791613463,-22.17201594805377,-2.7166980319191403,Technology,6.294117647058823,6.294117647058823
2023,47.386303181647406,47.210479933207196,-0.17582324844021002,Technology,5.44,5.44
2024,74.0543240243573,77.52462717768094,3.4703031533236413,Technology,8.0,8.0
2025,62.557867345760876,58.21553039254395,-4.342336953216929,Technology,6.4,6.4
